,player_id,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
490,garneke01,Garnett,Kevin,2000,West,NBA,1,27,14.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0
491,garneke01,Garnett,Kevin,1999,West,NBA,1,35,24.0,3.0,7.0,10.0,5.0,1.0,1.0,0.0,1.0,19.0,10.0,4.0,4.0,1.0,0.0
492,garneke01,Garnett,Kevin,1997,West,NBA,1,21,12.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,0.0,11.0,6.0,0.0,0.0,1.0,0.0
493,garneke01,Garnett,Kevin,1996,West,NBA,1,18,6.0,1.0,8.0,9.0,1.0,0.0,1.0,0.0,2.0,7.0,1.0,4.0,4.0,0.0,0.0
494,garneke01,Garnett,Kevin,2009,East,NBA,1,13,4.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
495,garneke01,Garnett,Kevin,2008,East,NBA,1,19,12.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0
496,garneke01,Garnett,Kevin,2005,West,NBA,1,16,2.0,2.0,7.0,9.0,4.0,1.0,0.0,2.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0
497,garneke01,Garnett,Kevin,2006,West,NBA,1,14,7.0,4.0,2.0,6.0,4.0,1.0,0.0,2.0,1.0,8.0,3.0,2.0,1.0,0.0,0.0
498,garneke01,Garnett,Kevin,2004,West,NBA,1,16,10.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,8.0,5.0,1.0,0.0,0.0,0.0
499,gasolpa01,Gasol,Pau,2005,West,NBA,1,14,0.0,6.0,6.0,12.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
500,gasolpa01,Gasol,Pau,2008,West,NBA,1,17,14.0,2.0,6.0,8.0,1.0,1.0,1.0,0.0,2.0,7.0,5.0,4.0,4.0,0.0,0.0
501,gasolpa01,Gasol,Pau,2009,West,NBA,1,20,13.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,3.0,9.0,5.0,3.0,3.0,0.0,0.0
502,gatlich01,Gatling,Chris,1996,West,NBA,1,12,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0
506,gervige01,Gervin,George,1973,East,ABA,1,21,9.0,1.0,4.0,5.0,3.0,0.0,0.0,2.0,1.0,9.0,3.0,4.0,3.0,1.0,0.0
507,gervige01,Gervin,George,1974,West,ABA,1,30,23.0,2.0,4.0,6.0,3.0,6.0,5.0,2.0,2.0,15.0,8.0,8.0,7.0,1.0,0.0
517,gervige01,Gervin,George,1981,West,NBA,1,27,12.0,1.0,5.0,6.0,1.0,3.0,3.0,0.0,3.0,14.0,5.0,2.0,2.0,0.0,0.0
518,gilmoar01,Gilmore,Artis,1981,East,NBA,1,16,7.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,6.0,3.0,1.0,1.0,0.0,0.0
525,gilmoar01,Gilmore,Artis,1972,East,ABA,1,31,10.0,5.0,11.0,16.0,0.0,0.0,2.0,6.0,5.0,8.0,3.0,8.0,4.0,0.0,0.0
526,gilmoar01,Gilmore,Artis,1973,East,ABA,1,27,18.0,6.0,7.0,13.0,1.0,1.0,4.0,3.0,4.0,12.0,8.0,3.0,2.0,0.0,0.0
527,gilmoar01,Gilmore,Artis,1974,East,ABA,1,28,11.0,2.0,11.0,13.0,2.0,1.0,1.0,4.0,3.0,8.0,4.0,7.0,3.0,0.0,0.0
529,ginobma01,Ginobili,Manu,2004,West,NBA,1,22,8.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,2.0,2.0,2.0,0.0
541,grangda01,Granger,Danny,2008,East,NBA,1,11,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
548,greenmi01,Green,Mike,1974,West,ABA,1,18,6.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0
567,guglito01,Gugliotta,Tom,1996,West,NBA,1,19,9.0,1.0,7.0,8.0,3.0,2.0,0.0,3.0,3.0,7.0,3.0,4.0,3.0,1.0,0.0
574,hamilri01,Hamilton,Richard,2005,East,NBA,1,13,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0
575,hamilri01,Hamilton,Richard,2006,East,NBA,1,15,8.0,2.0,4.0,6.0,1.0,2.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0
576,hamilri01,Hamilton,Richard,2007,East,NBA,1,18,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,1.0,1.0
577,hardaan01,Hardaway,Anfernee,1996,East,NBA,1,24,19.0,4.0,3.0,7.0,3.0,2.0,0.0,1.0,2.0,10.0,7.0,2.0,2.0,5.0,3.0
578,hardaan01,Hardaway,Anfernee,1997,East,NBA,1,12,6.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0
583,hardati01,Hardaway,Tim,1997,East,NBA,1,17,8.0,0.0,1.0,1.0,6.0,0.0,0.0,6.0,0.0,8.0,3.0,0.0,0.0,5.0,2.0
584,hardati01,Hardaway,Tim,1996,East,NBA,1,14,10.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,10.0,4.0,0.0,0.0,6.0,2.0
587,harride01,Harris,Devin,2008,East,NBA,1,17,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0
633,hillgr01,Hill,Grant,1999,East,NBA,1,19,7.0,0.0,3.0,3.0,5.0,1.0,0.0,3.0,0.0,7.0,3.0,1.0,1.0,1.0,0.0
634,hillgr01,Hill,Grant,1997,East,NBA,1,28,15.0,0.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,11.0,7.0,0.0,0.0,1.0,1.0
635,hillgr01,Hill,Grant,1996,East,NBA,1,22,11.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,7.0,4.0,4.0,3.0,0.0,0.0
638,hillgr01,Hill,Grant,2004,East,NBA,1,17,6.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0
641,horfoal01,Horford,Al,2009,East,NBA,1,14,8.0,0.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0
